1;Amazonia;Floresta Tropical;Equatorial Quente;Maior biodiversidade do mundo e vasta bacia hidrografica
2;Cerrado;Savana;Tropical Sazonal;Vegetacao de arvores retorcidas e gramineas
3;Mata Atlantica;Floresta Tropical;Tropical Umido;Floresta costeira rica em especies endemicas
4;Caatinga;Xerofita;Semiarido;Vegetacao adaptada a seca no sertao nordestino
5;Pampa;Campos Sulinos;Subtropical;Planicies com gramineas propicias para pastagem
6;Pantanal;Area Umida;Tropical Continental;Maior planicie inundavel do planeta
